model,classifier,fs_config,accuracy,sensitivity,specificity,f1,auc,TP,TN,FP,FN
ResNet50,SVM_C0.5,ANOVA200,0.6875,0.5517,0.7647,0.5614,0.6444,16,39,12,13
InceptionV3,RF_500,ANOVA200_PCA5,0.6875,0.5517,0.7647,0.5614,0.6416,16,39,12,13
ResNet50,MLP_32_16,PCA15,0.6875,0.5517,0.7647,0.5614,0.6376,16,39,12,13
ResNet50,MLP_128_64,ANOVA20,0.6875,0.5517,0.7647,0.5614,0.6116,16,39,12,13
ResNet50,MLP_64_reg,ANOVA200_PCA15,0.6875,0.5517,0.7647,0.5614,0.6085,16,39,12,13
ResNet50,MLP_64,ANOVA200_PCA15,0.6875,0.5517,0.7647,0.5614,0.6024,16,39,12,13
DenseNet121,GBM_100,ANOVA100_PCA30,0.6875,0.5172,0.7843,0.5455,0.7140,15,40,11,14
DenseNet121,LogReg_C10,ANOVA10,0.6875,0.5172,0.7843,0.5455,0.6802,15,40,11,14
DenseNet121,GBM_200,ANOVA50_PCA30,0.6875,0.5172,0.7843,0.5455,0.6782,15,40,11,14
DenseNet121,LogReg_l1_C1,ANOVA50_PCA5,0.6875,0.5172,0.7843,0.5455,0.6646,15,40,11,14
DenseNet121,MLP_128_64,ANOVA200_PCA10,0.6875,0.5172,0.7843,0.5455,0.6633,15,40,11,14
ResNet50,MLP_128_64_reg,ANOVA200_PCA5,0.6875,0.5172,0.7843,0.5455,0.6538,15,40,11,14
ResNet50,SVM_C1,ANOVA200_PCA20,0.6875,0.5172,0.7843,0.5455,0.6491,15,40,11,14
DenseNet121,LogReg_l1_C1,ANOVA10,0.6875,0.5172,0.7843,0.5455,0.6477,15,40,11,14
DenseNet121,SVM_linear_C1,PCA15,0.6875,0.5172,0.7843,0.5455,0.6450,15,40,11,14
DenseNet121,MLP_32_16,PCA50,0.6875,0.5172,0.7843,0.5455,0.6389,15,40,11,14
ResNet50,LDA,ANOVA100_PCA5,0.6875,0.5172,0.7843,0.5455,0.6376,15,40,11,14
InceptionV3,SVM_linear_C0.1,ANOVA100_PCA5,0.6875,0.5172,0.7843,0.5455,0.6329,15,40,11,14
InceptionV3,LogReg_l1_C1,ANOVA100_PCA5,0.6875,0.5172,0.7843,0.5455,0.6247,15,40,11,14
ResNet50,LDA,ANOVA100_PCA10,0.6875,0.5172,0.7843,0.5455,0.6200,15,40,11,14
ResNet50,MLP_128_64,ANOVA100,0.6875,0.5172,0.7843,0.5455,0.5977,15,40,11,14
ResNet50,MLP_128_64,ANOVA10,0.6875,0.5172,0.7843,0.5455,0.5943,15,40,11,14
ResNet50,GBM_100,ANOVA100_PCA5,0.6875,0.5172,0.7843,0.5455,0.5680,15,40,11,14
DenseNet121,AdaBoost_100,ANOVA200,0.6875,0.4828,0.8039,0.5283,0.6778,14,41,10,15
DenseNet121,Ridge,ANOVA200_PCA10,0.6875,0.4828,0.8039,0.5283,0.6714,14,41,10,15
DenseNet121,Ridge_0.1,ANOVA200_PCA10,0.6875,0.4828,0.8039,0.5283,0.6707,14,41,10,15
DenseNet121,MLP_128_64,PCA50,0.6875,0.4828,0.8039,0.5283,0.6653,14,41,10,15
DenseNet121,ExtraTrees_100,ANOVA200_PCA5,0.6875,0.4828,0.8039,0.5283,0.6596,14,41,10,15
DenseNet121,SVM_C10,ANOVA100_PCA30,0.6875,0.4828,0.8039,0.5283,0.6504,14,41,10,15
DenseNet121,SVM_C10,ANOVA100,0.6875,0.4828,0.8039,0.5283,0.6498,14,41,10,15
DenseNet121,SVM_C10,ANOVA50,0.6875,0.4828,0.8039,0.5283,0.6491,14,41,10,15
DenseNet121,SVM_C10,ANOVA50_PCA30,0.6875,0.4828,0.8039,0.5283,0.6491,14,41,10,15
DenseNet121,Ridge_10,ANOVA100_PCA10,0.6875,0.4828,0.8039,0.5283,0.6464,14,41,10,15
DenseNet121,SVM_C10,ANOVA50_PCA20,0.6875,0.4828,0.8039,0.5283,0.6464,14,41,10,15
ResNet50,SVM_C1,ANOVA200_PCA30,0.6875,0.4828,0.8039,0.5283,0.6362,14,41,10,15
InceptionV3,LogReg_C1,ANOVA100_PCA5,0.6875,0.4828,0.8039,0.5283,0.6342,14,41,10,15
InceptionV3,LogReg_C10,ANOVA50_PCA5,0.6875,0.4828,0.8039,0.5283,0.6295,14,41,10,15
DenseNet121,MLP_64_tanh,ANOVA100_PCA5,0.6875,0.4828,0.8039,0.5283,0.6288,14,41,10,15
InceptionV3,MLP_64_tanh,ANOVA200,0.6875,0.4828,0.8039,0.5283,0.6275,14,41,10,15
ResNet50,ExtraTrees_100,ANOVA100_PCA5,0.6875,0.4828,0.8039,0.5283,0.6180,14,41,10,15
InceptionV3,MLP_128,ANOVA50,0.6875,0.4828,0.8039,0.5283,0.6112,14,41,10,15
DenseNet121,GBM_200,ANOVA50_PCA5,0.6875,0.4828,0.8039,0.5283,0.5920,14,41,10,15
ResNet50,MLP_128_64,ANOVA200_PCA30,0.6875,0.4828,0.8039,0.5283,0.5740,14,41,10,15
InceptionV3,LogReg_l1_C1,PCA50,0.6875,0.4828,0.8039,0.5283,0.5720,14,41,10,15
InceptionV3,LDA,ANOVA200,0.6875,0.4828,0.8039,0.5283,0.5538,14,41,10,15
DenseNet121,SVM_C10,PCA20,0.6875,0.4483,0.8235,0.5098,0.6924,13,42,9,16
DenseNet121,GBM_200,ANOVA100_PCA15,0.6875,0.4483,0.8235,0.5098,0.6734,13,42,9,16
DenseNet121,Ridge_0.1,ANOVA50_PCA10,0.6875,0.4483,0.8235,0.5098,0.6416,13,42,9,16
DenseNet121,SVM_C10,ANOVA100_PCA20,0.6875,0.4483,0.8235,0.5098,0.6383,13,42,9,16
DenseNet121,MLP_64_tanh,ANOVA200_PCA15,0.6875,0.4483,0.8235,0.5098,0.6166,13,42,9,16
ResNet50,MLP_128_64,PCA20,0.6875,0.4483,0.8235,0.5098,0.6160,13,42,9,16
InceptionV3,MLP_64,ANOVA50,0.6875,0.4483,0.8235,0.5098,0.6126,13,42,9,16
InceptionV3,SVM_C10,ANOVA10,0.6875,0.4483,0.8235,0.5098,0.5835,13,42,9,16
InceptionV3,MLP_32,PCA30,0.6875,0.4483,0.8235,0.5098,0.5659,13,42,9,16
DenseNet121,SVM_C0.5,ANOVA20,0.6875,0.4138,0.8431,0.4898,0.6572,12,43,8,17
DenseNet121,SVM_linear_C0.1,ANOVA20,0.6875,0.4138,0.8431,0.4898,0.6565,12,43,8,17
DenseNet121,MLP_128_64_reg,ANOVA200_PCA15,0.6875,0.4138,0.8431,0.4898,0.6498,12,43,8,17
DenseNet121,GaussianNB,ANOVA10,0.6875,0.4138,0.8431,0.4898,0.6474,12,43,8,17
DenseNet121,MLP_128_64,ANOVA200_PCA15,0.6875,0.4138,0.8431,0.4898,0.6471,12,43,8,17
DenseNet121,MLP_32,ANOVA200_PCA10,0.6875,0.4138,0.8431,0.4898,0.6099,12,43,8,17
ResNet50,LogReg_C1,PCA50,0.6875,0.4138,0.8431,0.4898,0.6051,12,43,8,17
DenseNet121,MLP_64,ANOVA200_PCA15,0.6875,0.4138,0.8431,0.4898,0.5943,12,43,8,17
InceptionV3,MLP_64_tanh,PCA50,0.6875,0.4138,0.8431,0.4898,0.5862,12,43,8,17
InceptionV3,QDA,ANOVA200_PCA15,0.6875,0.4138,0.8431,0.4898,0.5818,12,43,8,17
DenseNet121,SVM_C1,PCA20,0.6875,0.3793,0.8627,0.4681,0.6829,11,44,7,18
InceptionV3,QDA,ANOVA100_PCA5,0.6875,0.3793,0.8627,0.4681,0.6795,11,44,7,18
DenseNet121,SVM_C1,PCA15,0.6875,0.3793,0.8627,0.4681,0.6741,11,44,7,18
ResNet50,ExtraTrees_100,ANOVA50,0.6875,0.3793,0.8627,0.4681,0.6609,11,44,7,18
DenseNet121,LDA,ANOVA200_PCA5,0.6875,0.3793,0.8627,0.4681,0.6525,11,44,7,18
DenseNet121,LDA,PCA15,0.6875,0.3793,0.8627,0.4681,0.6416,11,44,7,18
DenseNet121,GaussianNB,ANOVA20,0.6875,0.3793,0.8627,0.4681,0.6322,11,44,7,18
DenseNet121,MLP_64_reg,ANOVA50_PCA5,0.6875,0.3793,0.8627,0.4681,0.6139,11,44,7,18
DenseNet121,RF_500,ANOVA50,0.6875,0.3793,0.8627,0.4681,0.6133,11,44,7,18
DenseNet121,SVM_C0.1_calibrated,ANOVA200,0.6875,0.3793,0.8627,0.4681,0.6126,11,44,7,18
DenseNet121,RF_100,ANOVA50_PCA10,0.6875,0.3793,0.8627,0.4681,0.6045,11,44,7,18
InceptionV3,MLP_64_reg,PCA15,0.6875,0.3793,0.8627,0.4681,0.6004,11,44,7,18
DenseNet121,MLP_64_reg,ANOVA200_PCA15,0.6875,0.3793,0.8627,0.4681,0.5930,11,44,7,18
DenseNet121,MLP_128_64_reg,ANOVA200_PCA20,0.6875,0.3793,0.8627,0.4681,0.5828,11,44,7,18
DenseNet121,ExtraTrees_100,ANOVA100,0.6875,0.3793,0.8627,0.4681,0.5811,11,44,7,18
InceptionV3,RF_100,ANOVA100_PCA15,0.6875,0.3793,0.8627,0.4681,0.5781,11,44,7,18
DenseNet121,MLP_128_64,ANOVA50,0.6875,0.3793,0.8627,0.4681,0.5625,11,44,7,18
DenseNet121,MLP_32,ANOVA100_PCA10,0.6875,0.3793,0.8627,0.4681,0.5585,11,44,7,18
DenseNet121,MLP_64_reg,ANOVA100_PCA20,0.6875,0.3793,0.8627,0.4681,0.5538,11,44,7,18
DenseNet121,MLP_64,ANOVA100_PCA10,0.6875,0.3793,0.8627,0.4681,0.5355,11,44,7,18
DenseNet121,SVM_C0.5,PCA50,0.6875,0.3448,0.8824,0.4444,0.6687,10,45,6,19
DenseNet121,SVM_C0.5,PCA30,0.6875,0.3448,0.8824,0.4444,0.6660,10,45,6,19
ResNet50,GBM_100,PCA30,0.6875,0.3448,0.8824,0.4444,0.6606,10,45,6,19
DenseNet121,ExtraTrees_100,ANOVA20,0.6875,0.3448,0.8824,0.4444,0.6525,10,45,6,19
ResNet50,GBM_200,PCA20,0.6875,0.3448,0.8824,0.4444,0.6518,10,45,6,19
DenseNet121,SVM_C0.5,PCA20,0.6875,0.3448,0.8824,0.4444,0.6491,10,45,6,19
DenseNet121,SVM_C0.5,PCA15,0.6875,0.3448,0.8824,0.4444,0.6471,10,45,6,19
DenseNet121,GaussianNB,ANOVA200_PCA5,0.6875,0.3448,0.8824,0.4444,0.6231,10,45,6,19
DenseNet121,SVM_C0.1_calibrated,ANOVA200_PCA15,0.6875,0.3448,0.8824,0.4444,0.6119,10,45,6,19
DenseNet121,RF_500,ANOVA50_PCA15,0.6875,0.3448,0.8824,0.4444,0.6109,10,45,6,19
DenseNet121,SVM_C0.5,ANOVA200_PCA10,0.6875,0.3448,0.8824,0.4444,0.6058,10,45,6,19
DenseNet121,SVM_C0.5,ANOVA200,0.6875,0.3448,0.8824,0.4444,0.6018,10,45,6,19
DenseNet121,SVM_C0.5,ANOVA200_PCA20,0.6875,0.3448,0.8824,0.4444,0.6004,10,45,6,19
DenseNet121,SVM_C0.5,ANOVA200_PCA30,0.6875,0.3448,0.8824,0.4444,0.6004,10,45,6,19
DenseNet121,SVM_C0.5,ANOVA200_PCA15,0.6875,0.3448,0.8824,0.4444,0.5997,10,45,6,19
DenseNet121,ExtraTrees_100,ANOVA50_PCA15,0.6875,0.3448,0.8824,0.4444,0.5913,10,45,6,19
DenseNet121,ExtraTrees_100,ANOVA50,0.6875,0.3448,0.8824,0.4444,0.5909,10,45,6,19
DenseNet121,SVM_C0.1_calibrated,PCA50,0.6875,0.3103,0.9020,0.4186,0.6687,9,46,5,20
DenseNet121,SVM_C0.1_calibrated,PCA30,0.6875,0.3103,0.9020,0.4186,0.6613,9,46,5,20
DenseNet121,SVM_C0.1_calibrated,PCA20,0.6875,0.3103,0.9020,0.4186,0.6464,9,46,5,20
DenseNet121,RF_100,ANOVA100_PCA15,0.6875,0.3103,0.9020,0.4186,0.6403,9,46,5,20
DenseNet121,SVM_C0.1_calibrated,PCA15,0.6875,0.3103,0.9020,0.4186,0.6389,9,46,5,20
DenseNet121,ExtraTrees_100,PCA10,0.6875,0.3103,0.9020,0.4186,0.6153,9,46,5,20
DenseNet121,GaussianNB,ANOVA50,0.6875,0.3103,0.9020,0.4186,0.5926,9,46,5,20
DenseNet121,SVM_C0.5,ANOVA200_PCA5,0.6875,0.3103,0.9020,0.4186,0.5909,9,46,5,20
ResNet50,GBM_100,PCA50,0.6875,0.3103,0.9020,0.4186,0.5889,9,46,5,20
ResNet50,ExtraTrees_100,PCA10,0.6875,0.3103,0.9020,0.4186,0.5838,9,46,5,20
ResNet50,SVM_C0.1,ANOVA100_PCA20,0.6875,0.2759,0.9216,0.3902,0.6416,8,47,4,21
ResNet50,SVM_poly3_C0.1,ANOVA10,0.6875,0.2759,0.9216,0.3902,0.6119,8,47,4,21
ResNet50,GaussianNB,PCA50,0.6875,0.2759,0.9216,0.3902,0.5771,8,47,4,21
InceptionV3,RF_500,PCA5,0.6875,0.2759,0.9216,0.3902,0.5166,8,47,4,21
InceptionV3,QDA,PCA10,0.6875,0.2759,0.9216,0.3902,0.5007,8,47,4,21
DenseNet121,ExtraTrees_100,PCA30,0.6875,0.2414,0.9412,0.3590,0.6515,7,48,3,22
InceptionV3,ExtraTrees_100,ANOVA200_PCA20,0.6875,0.2414,0.9412,0.3590,0.5916,7,48,3,22
ResNet50,SVM_poly3_C0.1,ANOVA20,0.6875,0.2414,0.9412,0.3590,0.5680,7,48,3,22
DenseNet121,SVM_C0.1,ANOVA50,0.6875,0.2069,0.9608,0.3243,0.6376,6,49,2,23
DenseNet121,SVM_C0.1,ANOVA50_PCA30,0.6875,0.2069,0.9608,0.3243,0.6376,6,49,2,23
DenseNet121,SVM_C0.1,ANOVA50_PCA20,0.6875,0.2069,0.9608,0.3243,0.6369,6,49,2,23
DenseNet121,SVM_C0.1,ANOVA50_PCA10,0.6875,0.2069,0.9608,0.3243,0.6335,6,49,2,23
DenseNet121,SVM_C0.1,ANOVA50_PCA15,0.6875,0.2069,0.9608,0.3243,0.6315,6,49,2,23
DenseNet121,SVM_C0.1,ANOVA50_PCA5,0.6875,0.2069,0.9608,0.3243,0.6288,6,49,2,23
ResNet50,SVM_C0.1,ANOVA200_PCA20,0.6875,0.2069,0.9608,0.3243,0.6275,6,49,2,23
InceptionV3,RF_100,PCA20,0.6875,0.2069,0.9608,0.3243,0.6146,6,49,2,23
InceptionV3,SVM_C0.1,ANOVA100_PCA10,0.6875,0.2069,0.9608,0.3243,0.6085,6,49,2,23
InceptionV3,RF_500,PCA20,0.6875,0.2069,0.9608,0.3243,0.6082,6,49,2,23
ResNet50,SVM_poly2_C0.1,ANOVA50_PCA5,0.6875,0.2069,0.9608,0.3243,0.5957,6,49,2,23
InceptionV3,SVM_C0.5,PCA5,0.6875,0.2069,0.9608,0.3243,0.5957,6,49,2,23
InceptionV3,ExtraTrees_100,PCA20,0.6875,0.2069,0.9608,0.3243,0.5953,6,49,2,23
InceptionV3,SVM_C0.1_calibrated,PCA5,0.6875,0.2069,0.9608,0.3243,0.5909,6,49,2,23
InceptionV3,GaussianNB,PCA15,0.6875,0.2069,0.9608,0.3243,0.5801,6,49,2,23
InceptionV3,SVM_C0.5,PCA10,0.6875,0.2069,0.9608,0.3243,0.5558,6,49,2,23
InceptionV3,QDA,PCA5,0.6875,0.2069,0.9608,0.3243,0.5517,6,49,2,23
DenseNet121,SVM_poly2_C0.1,PCA50,0.6875,0.1724,0.9804,0.2857,0.6484,5,50,1,24
DenseNet121,SVM_poly2_C0.1,PCA10,0.6875,0.1724,0.9804,0.2857,0.6471,5,50,1,24
DenseNet121,SVM_poly2_C0.1,PCA30,0.6875,0.1724,0.9804,0.2857,0.6471,5,50,1,24
DenseNet121,SVM_poly2_C0.1,ANOVA100_PCA10,0.6875,0.1724,0.9804,0.2857,0.6437,5,50,1,24
DenseNet121,SVM_poly2_C0.1,PCA20,0.6875,0.1724,0.9804,0.2857,0.6437,5,50,1,24
DenseNet121,SVM_poly2_C0.1,ANOVA100,0.6875,0.1724,0.9804,0.2857,0.6423,5,50,1,24
DenseNet121,SVM_poly2_C0.1,ANOVA100_PCA20,0.6875,0.1724,0.9804,0.2857,0.6423,5,50,1,24
DenseNet121,SVM_poly2_C0.1,ANOVA100_PCA30,0.6875,0.1724,0.9804,0.2857,0.6423,5,50,1,24
DenseNet121,SVM_poly2_C0.1,ANOVA100_PCA15,0.6875,0.1724,0.9804,0.2857,0.6416,5,50,1,24
DenseNet121,SVM_poly2_C0.1,ANOVA50_PCA15,0.6875,0.1724,0.9804,0.2857,0.6416,5,50,1,24
DenseNet121,SVM_poly2_C0.1,ANOVA100_PCA5,0.6875,0.1724,0.9804,0.2857,0.6403,5,50,1,24
DenseNet121,SVM_poly2_C0.1,ANOVA50,0.6875,0.1724,0.9804,0.2857,0.6396,5,50,1,24
DenseNet121,SVM_poly2_C0.1,PCA15,0.6875,0.1724,0.9804,0.2857,0.6396,5,50,1,24
DenseNet121,SVM_poly2_C0.1,ANOVA50_PCA20,0.6875,0.1724,0.9804,0.2857,0.6389,5,50,1,24
DenseNet121,SVM_poly2_C0.1,ANOVA50_PCA30,0.6875,0.1724,0.9804,0.2857,0.6389,5,50,1,24
DenseNet121,SVM_poly2_C0.1,ANOVA50_PCA10,0.6875,0.1724,0.9804,0.2857,0.6376,5,50,1,24
DenseNet121,SVM_poly2_C0.1,ANOVA50_PCA5,0.6875,0.1724,0.9804,0.2857,0.6369,5,50,1,24
DenseNet121,SVM_poly2_C0.1,ANOVA200_PCA5,0.6875,0.1724,0.9804,0.2857,0.6261,5,50,1,24
DenseNet121,SVM_poly2_C0.1,ANOVA200_PCA30,0.6875,0.1724,0.9804,0.2857,0.6254,5,50,1,24
DenseNet121,SVM_poly2_C0.1,ANOVA200_PCA15,0.6875,0.1724,0.9804,0.2857,0.6254,5,50,1,24
DenseNet121,SVM_poly2_C0.1,ANOVA200_PCA10,0.6875,0.1724,0.9804,0.2857,0.6241,5,50,1,24
DenseNet121,SVM_poly2_C0.1,ANOVA200,0.6875,0.1724,0.9804,0.2857,0.6241,5,50,1,24
DenseNet121,SVM_poly2_C0.1,ANOVA200_PCA20,0.6875,0.1724,0.9804,0.2857,0.6241,5,50,1,24
DenseNet121,SVM_C0.1,ANOVA100_PCA15,0.6875,0.1724,0.9804,0.2857,0.6193,5,50,1,24
InceptionV3,SVM_C0.1,ANOVA100_PCA15,0.6875,0.1724,0.9804,0.2857,0.6146,5,50,1,24
InceptionV3,NearestCentroid,PCA5,0.6875,0.1724,0.9804,0.2857,0.5849,5,50,1,24
DenseNet121,SVM_poly2_C0.1,PCA5,0.6875,0.1724,0.9804,0.2857,0.5842,5,50,1,24
InceptionV3,LDA,PCA5,0.6875,0.1724,0.9804,0.2857,0.5828,5,50,1,24
InceptionV3,NearestCentroid,PCA30,0.6875,0.1724,0.9804,0.2857,0.5801,5,50,1,24
DenseNet121,SVM_poly3_C0.1,ANOVA100_PCA5,0.6875,0.1724,0.9804,0.2857,0.5747,5,50,1,24
DenseNet121,SVM_poly3_C0.1,ANOVA100,0.6875,0.1724,0.9804,0.2857,0.5707,5,50,1,24
DenseNet121,SVM_poly3_C0.1,ANOVA100_PCA30,0.6875,0.1724,0.9804,0.2857,0.5707,5,50,1,24
DenseNet121,SVM_poly3_C0.1,ANOVA100_PCA15,0.6875,0.1724,0.9804,0.2857,0.5693,5,50,1,24
DenseNet121,SVM_poly3_C0.1,ANOVA100_PCA20,0.6875,0.1724,0.9804,0.2857,0.5693,5,50,1,24
DenseNet121,SVM_poly3_C0.1,ANOVA100_PCA10,0.6875,0.1724,0.9804,0.2857,0.5686,5,50,1,24
InceptionV3,NearestCentroid,PCA20,0.6875,0.1724,0.9804,0.2857,0.5592,5,50,1,24
DenseNet121,SVM_poly3_C0.1,PCA10,0.6875,0.1724,0.9804,0.2857,0.5558,5,50,1,24
ResNet50,SVM_poly3_C0.1,ANOVA50_PCA5,0.6875,0.1724,0.9804,0.2857,0.5551,5,50,1,24
ResNet50,SVM_poly3_C0.1,ANOVA50_PCA30,0.6875,0.1724,0.9804,0.2857,0.5517,5,50,1,24
DenseNet121,SVM_poly3_C0.1,PCA15,0.6875,0.1724,0.9804,0.2857,0.5510,5,50,1,24
DenseNet121,SVM_poly3_C0.1,PCA20,0.6875,0.1724,0.9804,0.2857,0.5504,5,50,1,24
DenseNet121,SVM_poly3_C0.1,PCA50,0.6875,0.1724,0.9804,0.2857,0.5470,5,50,1,24
DenseNet121,SVM_poly3_C0.1,PCA30,0.6875,0.1724,0.9804,0.2857,0.5436,5,50,1,24
InceptionV3,NearestCentroid,PCA50,0.6875,0.1724,0.9804,0.2857,0.5429,5,50,1,24
ResNet50,SVM_poly3_C0.1,ANOVA50_PCA15,0.6875,0.1724,0.9804,0.2857,0.5396,5,50,1,24
ResNet50,SVM_poly3_C0.1,ANOVA50_PCA10,0.6875,0.1724,0.9804,0.2857,0.5368,5,50,1,24
ResNet50,SVM_poly3_C0.1,ANOVA50_PCA20,0.6875,0.1724,0.9804,0.2857,0.5355,5,50,1,24
InceptionV3,NearestCentroid,PCA10,0.6875,0.1724,0.9804,0.2857,0.4442,5,50,1,24
InceptionV3,NearestCentroid,PCA15,0.6875,0.1724,0.9804,0.2857,0.4300,5,50,1,24
InceptionV3,SVM_C0.1,ANOVA100,0.6875,0.1379,1.0000,0.2424,0.6214,4,51,0,25
ResNet50,SVM_poly3_C0.1,PCA30,0.6875,0.1379,1.0000,0.2424,0.6207,4,51,0,25
InceptionV3,SVM_C0.1,ANOVA100_PCA30,0.6875,0.1379,1.0000,0.2424,0.6146,4,51,0,25
InceptionV3,SVM_C0.1,ANOVA200_PCA5,0.6875,0.1379,1.0000,0.2424,0.5977,4,51,0,25
ResNet50,SVM_poly2_C0.1,ANOVA100,0.6875,0.1379,1.0000,0.2424,0.5862,4,51,0,25
ResNet50,LogReg_l1_C1,ANOVA200_PCA10,0.6750,0.6552,0.6863,0.5938,0.6376,19,35,16,10
ResNet50,PassiveAggressive,ANOVA200_PCA5,0.6750,0.6552,0.6863,0.5938,0.6018,19,35,16,10
DenseNet121,PassiveAggressive,PCA20,0.6750,0.6207,0.7059,0.5806,0.7106,18,36,15,11
DenseNet121,PassiveAggressive,PCA10,0.6750,0.6207,0.7059,0.5806,0.6795,18,36,15,11
ResNet50,MLP_128_64_reg,ANOVA100_PCA5,0.6750,0.6207,0.7059,0.5806,0.6700,18,36,15,11
ResNet50,MLP_128_64,ANOVA100_PCA5,0.6750,0.6207,0.7059,0.5806,0.6606,18,36,15,11
DenseNet121,SGD_hinge,ANOVA50_PCA15,0.6750,0.6207,0.7059,0.5806,0.6423,18,36,15,11
ResNet50,SVM_linear_C0.1,ANOVA200_PCA5,0.6750,0.6207,0.7059,0.5806,0.6389,18,36,15,11
ResNet50,SVM_linear_C1,ANOVA200_PCA5,0.6750,0.6207,0.7059,0.5806,0.6389,18,36,15,11
ResNet50,SVM_linear_C0.1,ANOVA50_PCA5,0.6750,0.6207,0.7059,0.5806,0.6220,18,36,15,11
ResNet50,LogReg_elasticnet_C0.1,ANOVA50_PCA10,0.6750,0.6207,0.7059,0.5806,0.5876,18,36,15,11
ResNet50,SVM_C10,ANOVA10,0.6750,0.5862,0.7255,0.5667,0.7099,17,37,14,12
ResNet50,SVM_C1,ANOVA20,0.6750,0.5862,0.7255,0.5667,0.6491,17,37,14,12
InceptionV3,PassiveAggressive,ANOVA100,0.6750,0.5862,0.7255,0.5667,0.6423,17,37,14,12
ResNet50,NearestCentroid,ANOVA10,0.6750,0.5862,0.7255,0.5667,0.6153,17,37,14,12
ResNet50,MLP_128,ANOVA20,0.6750,0.5862,0.7255,0.5667,0.6133,17,37,14,12
ResNet50,MLP_32,ANOVA20,0.6750,0.5862,0.7255,0.5667,0.5882,17,37,14,12
DenseNet121,LogReg_elasticnet_C0.1,PCA10,0.6750,0.5517,0.7451,0.5517,0.7167,16,38,13,13
DenseNet121,LogReg_l1_C1,PCA10,0.6750,0.5517,0.7451,0.5517,0.6937,16,38,13,13
DenseNet121,LogReg_C10,ANOVA100_PCA5,0.6750,0.5517,0.7451,0.5517,0.6876,16,38,13,13
DenseNet121,LogReg_C1,PCA10,0.6750,0.5517,0.7451,0.5517,0.6829,16,38,13,13
ResNet50,MLP_128,ANOVA50_PCA5,0.6750,0.5517,0.7451,0.5517,0.6646,16,38,13,13
ResNet50,SVM_C0.5,ANOVA100_PCA10,0.6750,0.5517,0.7451,0.5517,0.6572,16,38,13,13
ResNet50,SVM_C0.1_calibrated,ANOVA100,0.6750,0.5517,0.7451,0.5517,0.6450,16,38,13,13
InceptionV3,SGD_perceptron,ANOVA200_PCA5,0.6750,0.5517,0.7451,0.5517,0.6403,16,38,13,13
ResNet50,SVM_C1,ANOVA100_PCA5,0.6750,0.5517,0.7451,0.5517,0.6396,16,38,13,13
InceptionV3,LogReg_C10,ANOVA200_PCA30,0.6750,0.5517,0.7451,0.5517,0.6376,16,38,13,13
ResNet50,MLP_32_16,ANOVA100_PCA5,0.6750,0.5517,0.7451,0.5517,0.6261,16,38,13,13
ResNet50,GBM_200,ANOVA50,0.6750,0.5517,0.7451,0.5517,0.6170,16,38,13,13
ResNet50,GBM_100,ANOVA50,0.6750,0.5517,0.7451,0.5517,0.6166,16,38,13,13
ResNet50,MLP_128_64_reg,ANOVA20,0.6750,0.5517,0.7451,0.5517,0.6153,16,38,13,13
ResNet50,MLP_64,ANOVA10,0.6750,0.5517,0.7451,0.5517,0.5963,16,38,13,13
DenseNet121,PassiveAggressive,ANOVA10,0.6750,0.5172,0.7647,0.5357,0.6937,15,39,12,14
ResNet50,SVM_C1,ANOVA100_PCA10,0.6750,0.5172,0.7647,0.5357,0.6809,15,39,12,14
DenseNet121,LogReg_C10,ANOVA50_PCA5,0.6750,0.5172,0.7647,0.5357,0.6782,15,39,12,14
DenseNet121,LogReg_l1_C1,ANOVA200_PCA15,0.6750,0.5172,0.7647,0.5357,0.6741,15,39,12,14
DenseNet121,LogReg_C1,ANOVA50_PCA5,0.6750,0.5172,0.7647,0.5357,0.6700,15,39,12,14
DenseNet121,LogReg_C1,ANOVA200_PCA10,0.6750,0.5172,0.7647,0.5357,0.6673,15,39,12,14
ResNet50,SVM_C10,ANOVA100_PCA5,0.6750,0.5172,0.7647,0.5357,0.6667,15,39,12,14
ResNet50,GBM_200,ANOVA200,0.6750,0.5172,0.7647,0.5357,0.6643,15,39,12,14
DenseNet121,LogReg_C0.1,ANOVA200_PCA15,0.6750,0.5172,0.7647,0.5357,0.6640,15,39,12,14
DenseNet121,SVM_linear_C0.1,ANOVA200_PCA10,0.6750,0.5172,0.7647,0.5357,0.6619,15,39,12,14
DenseNet121,LogReg_l1_C1,ANOVA50_PCA10,0.6750,0.5172,0.7647,0.5357,0.6579,15,39,12,14
DenseNet121,AdaBoost_100,ANOVA200_PCA10,0.6750,0.5172,0.7647,0.5357,0.6545,15,39,12,14
DenseNet121,Ridge,PCA20,0.6750,0.5172,0.7647,0.5357,0.6538,15,39,12,14
DenseNet121,Ridge_0.1,PCA20,0.6750,0.5172,0.7647,0.5357,0.6538,15,39,12,14
DenseNet121,Ridge_10,PCA20,0.6750,0.5172,0.7647,0.5357,0.6538,15,39,12,14
ResNet50,SVM_C1,ANOVA100_PCA30,0.6750,0.5172,0.7647,0.5357,0.6504,15,39,12,14
InceptionV3,LogReg_C10,ANOVA200,0.6750,0.5172,0.7647,0.5357,0.6471,15,39,12,14
DenseNet121,MLP_32,PCA20,0.6750,0.5172,0.7647,0.5357,0.6450,15,39,12,14
